nombre,iniciales_equipo,edad,altura_cm,peso_kg,pais,part_jug,pts,reb,ast,blk,stl,pct_tiro,temporada
DeAndre' Bembry,ATL,25.0,195.58,95.25431999999999,USA,43,5.8,3.5,1.9,0.0,2.0,0.5,2019-20
DeMar DeRozan,SAS,30.0,198.12,99.79024,USA,59,22.3,5.6,5.5,0.0,0.0,0.6,2019-20
DeMarre Carroll,HOU,33.0,198.12,97.52228,USA,20,3.2,2.3,0.9,0.0,0.0,0.507,2019-20
Dean Wade,CLE,23.0,205.74,103.418976,USA,12,1.7,1.6,0.2,0.0,0.0,0.7440000000000001,2019-20
Deandre Ayton,PHX,21.0,210.82,113.398,Bahamas,30,19.0,12.0,1.9,0.0,0.0,0.5710000000000001,2019-20
Darius Bazley,OKC,19.0,203.2,94.347136,USA,53,4.5,3.7,0.5,0.0,0.0,0.475,2019-20
Dejounte Murray,SAS,23.0,193.04,81.64656,USA,57,10.6,5.8,4.1,0.0,0.0,0.537,2019-20
Dennis Schroder,OKC,26.0,185.42,78.017824,Germany,62,18.9,3.7,4.0,0.0,0.0,0.573,2019-20
Dennis Smith Jr.,NYK,22.0,187.96,92.98636,USA,34,5.5,2.3,2.9,0.0,0.0,0.399,2019-20
Denzel Valentine,CHI,26.0,193.04,99.79024,USA,34,6.5,2.1,1.1,0.0,0.0,0.51,2019-20
Deonte Burton,OKC,26.0,193.04,108.86208,USA,34,2.8,1.4,0.3,0.0,0.0,0.426,2019-20
Derrick Favors,NOP,28.0,205.74,120.20188,USA,44,9.2,9.9,1.7,0.0,0.0,0.623,2019-20
Derrick Jones Jr.,MIA,23.0,198.12,95.25431999999999,USA,49,8.7,4.1,1.1,0.0,0.0,0.6,2019-20
Derrick Rose,DET,31.0,187.96,90.7184,USA,50,18.1,2.4,5.6,0.0,0.0,0.555,2019-20
Derrick Walton Jr.,DET,24.0,182.88,83.91452,USA,26,2.0,0.6,1.0,0.0,0.0,0.617,2019-20
Derrick White,SAS,25.0,193.04,86.18248,USA,59,10.2,3.2,3.3,0.0,0.0,0.5820000000000001,2019-20
Devin Booker,PHX,23.0,195.58,93.439952,USA,60,25.9,4.1,6.5,0.0,0.0,0.615,2019-20
